# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: sbreak.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00001000   ---        --------
               6   N   00001000   0000e101   00001004   x10_a0     00000000
               7   N   00001004   00004e01   00001006   ---        --------
               8   N   00001006   00000297   00001008   x28_t3     00000000
               9   N   00001008   83828293   0000100c   x05_t0     00001008
              10   N   0000100c   30529073   00001010   x05_t0     00000840
              11   N   00001010   00004505   00001014   ---        --------
              12   N   00001014   0000057e   00001016   x10_a0     00000001
              13   N   00001016   00054863   00001018   x10_a0     80000000
              14   N   00001018   0ff0000f   00001028   ---        --------
              17   N   00001028   00028f63   0000102c   x05_t0     00000000
              18   N   0000102c   10529073   0000104a   ---        --------
              22   N   0000104a   00006509   0000104e   ---        --------
              23   N   0000104e   00006509   0000104e   ---        --------
              24   N   0000104e   80050513   00001050   x10_a0     00002000
              25   N   00001050   30052073   00001054   x10_a0     00001800
              26   N   00001054   00000297   00001058   ---        --------
              27   N   00001058   00000297   00001058   ---        --------
              28   N   00001058   62c28293   0000105c   x05_t0     00001058
              29   N   0000105c   34129073   00001060   x05_t0     00001684
              30   N   00001060   f1402573   00001064   ---        --------
              31   N   00001064   30200073   00001068   x10_a0     00000000
              33   N   00001068   00000000   00001684   ---        --------
              36   N   00001684   00009002   00001686   x28_t3     00000002
              37   E   00001686   0000a019   00000840   mstatus    00001800
              37   E   00001686   0000a019   00000840   mepc       00001686
              37   E   00001686   0000a019   00000840   mcause     00000003
              37   E   00001686   0000a019   00000840   mtval      00000000
              40   N   00000840   000047a1   00000844   x14_a4     00000003
              41   N   00000844   02f70463   00000846   x15_a5     00000008
              42   N   00000846   000047a5   0000084a   ---        --------
              43   N   0000084a   02f70163   0000084c   x15_a5     00000009
              44   N   0000084c   000047ad   00000850   ---        --------
              45   N   00000850   00f70e63   00000852   x15_a5     0000000b
              46   N   00000852   47ad1717   00000856   ---        --------
              48   N   00000856   00f70713   0000085a   x14_a4     00001856
              50   N   0000085a   0000c311   0000085e   x14_a4     000016a8
              51   N   0000085e   00008702   00000860   ---        --------
              52   N   00000860   34202773   000016a8   ---        --------
              55   N   000016a8   342022f3   000016aa   x06_t1     00000003
              56   N   000016aa   430d90e3   000016ae   x05_t0     00000003
              58   N   000016ae   34200317   000016b2   ---        --------
              60   N   000016b2   fe620313   000016b6   x06_t1     000016b2
              62   N   000016b6   000022f3   000016ba   x06_t1     00001686
              64   N   000016ba   fd4398e3   000016be   x05_t0     00001686
              66   N   000016be   0000bfe1   000016c2   ---        --------
              67   N   000016c2   00000073   0000169a   ---        --------
              71   N   0000169a   000085f2   0000169e   ---        --------
              72   N   0000169e   00004501   000016a0   x11_a1     00000002
              73   N   000016a0   00000073   000016a2   x10_a0     00000000
              74   E   000016a2   00000001   00000840   mstatus    00001800
              74   E   000016a2   00000001   00000840   mepc       000016a2
              74   E   000016a2   00000001   00000840   mcause     0000000b
              74   E   000016a2   00000001   00000840   mtval      00000000
              77   N   00000840   000047a1   00000844   x14_a4     0000000b
              78   N   00000844   02f70463   00000846   x15_a5     00000008
              79   N   00000846   000047a5   0000084a   ---        --------
              80   N   0000084a   02f70163   0000084c   x15_a5     00000009
              81   N   0000084c   000047ad   00000850   ---        --------
              82   N   00000850   00f70e63   00000852   x15_a5     0000000b
              83   N   00000852   47ad1717   0000086e   ---        --------
              87   N   0000086e   17171897   00000872   x16_a6     f0000000
              89   N   00000872   f0008893   00000876   x17_a7     00001872
              91   N   00000876   00008783   0000087a   x17_a7     00001680
              94   N   0000087a   0000c791   0000087e   x15_a5     00000042
              95   N   0000087e   00f82023   00000880   ---        --------
              97   N   00000880   00000885   00000884   ---        --------
              98   N   00000884   ff5ff06f   00000886   x17_a7     00001681
              99   N   00000886   0885006f   0000087a   ---        --------
             104   N   0000087a   0000c791   0000087e   x15_a5     00000050
             105   N   0000087e   00f82023   00000880   ---        --------
             107   N   00000880   00000885   00000884   ---        --------
             108   N   00000884   ff5ff06f   00000886   x17_a7     00001682
             109   N   00000886   0885006f   0000087a   ---        --------
             114   N   0000087a   0000c791   0000087e   x15_a5     00000020
             115   N   0000087e   00f82023   00000880   ---        --------
             117   N   00000880   00000885   00000884   ---        --------
             118   N   00000884   ff5ff06f   00000886   x17_a7     00001683
             119   N   00000886   0885006f   0000087a   ---        --------
             124   N   0000087a   0000c791   0000087e   x15_a5     00000000
             125   N   0000087e   00f82023   0000088a   ---        --------
             129   N   0000088a   20230013   000016e0   ---        --------
             132   N   000016e0   a1428293   000016e4   x05_t0     000006e0
             133   N   000016e4   00008282   000016e8   x05_t0     000000f4
             134   N   000016e8   00000013   000000f4   ---        --------
             137   N   000000f4   0000006f   000000f8   ---        --------
             138   N   000000f8   ffffffff   000000f8   ---        --------
